id, tile count, move count
0, 7, 24
1, 6, 32
2, 9, 91
3, 7, 54
4, 9, 100
5, 7, 58
6, 4, 18
7, 8, 70
8, 6, 58
9, 4, 12
10, 4, 13
11, 4, 18
12, 5, 19
13, 5, 19
14, 9, 58
15, 8, 61
16, 6, 31
17, 5, 23
18, 2, 2
19, 3, 2
20, 9, 58
21, 9, 103
22, 6, 26
23, 6, 30
24, 6, 42
25, 8, 50
26, 8, 59
27, 4, 14
28, 8, 67
29, 5, 21
30, 3, 7
31, 5, 19
32, 3, 12
33, 6, 54
34, 2, 2
35, 8, 70
36, 12, 168
37, 7, 42
38, 3, 9
39, 5, 26
40, 3, 8
41, 3, 6
42, 3, 2
43, 3, 4
44, 4, 7
45, 7, 34
46, 7, 49
47, 6, 28
48, 7, 75
49, 6, 22
50, 8, 69
51, 11, 163
52, 13, 213
53, 4, 11
54, 6, 31
55, 7, 47
56, 8, 56
57, 9, 88
58, 5, 32
59, 4, 19
60, 8, 3
61, 11, 152
62, 6, 41
63, 12, 105
64, 8, 72
65, 11, 130
66, 9, 70
67, 4, 20
68, 5, 35
69, 6, 9
70, 7, 40
71, 2, 2
72, 5, 27
73, 3, 2
74, 4, 21
75, 8, 49
76, 8, 44
77, 4, 24
78, 8, 46
79, 8, 73
80, 3, 8
81, 4, 14
82, 3, 8
83, 13, 167
84, 3, 8
85, 6, 38
86, 7, 41
87, 8, 60
88, 3, 9
89, 8, 49
90, 5, 25
91, 3, 9
92, 8, 59
93, 6, 43
94, 4, 13
95, 6, 36
96, 7, 81
97, 2, 3
98, 3, 6
99, 9, 74
100, 4, 16
101, 5, 15
102, 5, 21
103, 8, 76
104, 6, 3
105, 9, 42
106, 8, 58
107, 5, 29
108, 10, 132
109, 11, 133
110, 6, 41
111, 3, 11
112, 8, 61
113, 7, 54
114, 8, 56
115, 10, 100
116, 8, 77
117, 3, 7
118, 5, 31
119, 6, 3
120, 3, 10
121, 5, 17
122, 8, 53
123, 8, 63
124, 8, 52
125, 8, 44
126, 3, 7
127, 5, 19
128, 12, 145
129, 2, 3
130, 8, 60
131, 3, 8
132, 4, 9
133, 11, 68
134, 4, 18
135, 3, 8
136, 5, 28
137, 4, 22
138, 3, 2
139, 7, 55
140, 6, 40
141, 7, 63
142, 5, 25
143, 4, 14
144, 7, 72
145, 9, 66
146, 3, 3
147, 7, 2
148, 7, 48
149, 6, 21
150, 5, 23
151, 6, 39
152, 4, 2
153, 3, 6
154, 5, 36
155, 8, 59
156, 3, 4
157, 10, 96
158, 5, 24
159, 4, 7
160, 3, 10
161, 6, 49
162, 6, 48
163, 5, 33
164, 5, 24
165, 8, 84
166, 8, 91
167, 8, 68
168, 3, 4
169, 8, 80
170, 10, 89
171, 4, 12
172, 4, 11
173, 8, 54
174, 5, 22
175, 8, 69
176, 8, 67
177, 5, 31
178, 7, 31
179, 6, 12
180, 6, 28
181, 3, 5
182, 5, 14
